id,date,catalogDate,year,x,mission,vehicle,variant,booster,boosterFlight,turnaroundDays,previousDate,pad,launchCode,source
2020-101,2020-12-19T14:00:00Z,2020 Dec 19 1400,2020,2020.9660746812385,NROL-108,Falcon 9,FT5,B1059,5,110.6125,2020-08-30T23:18:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-001,2021-01-08T02:15:00Z,2021 Jan  8 0215,2021,2021.0194349315068,Turksat 5A,Falcon 9,FT5,B1060,4,75.4468,2020-10-24T15:31:34Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-005,2021-01-20T13:02:00Z,2021 Jan 20 1302,2021,2021.0535426179604,Starlink V1.0-L16,Falcon 9,FT5,B1051,8,37.8139,2020-12-13T17:30:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-006,2021-01-24T15:00:00Z,2021 Jan 24 1500,2021,2021.0647260273972,Transporter-1,Falcon 9,FT5,B1058,5,48.9464,2020-12-06T16:17:08Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-009,2021-02-04T06:19:00Z,2021 Feb  4 0619,2021,2021.0938717656013,Starlink V1.0-L18,Falcon 9,FT5,B1060,5,27.1694,2021-01-08T02:15:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-012,2021-02-16T03:59:37Z,2021 Feb 16 0359:37,2021,2021.1264832889397,Starlink V1.0-L19,Falcon 9,FT5,B1059,6,58.5831,2020-12-19T14:00:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-017,2021-03-04T08:24:54Z,2021 Mar  4 0824:54,2021,2021.170823630137,Starlink V1.0-L17,Falcon 9,FT5,B1049,8,99.2581,2020-11-25T02:13:12Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-018,2021-03-11T08:13:29Z,2021 Mar 11 0813:29,2021,2021.1899799911212,Starlink V1.0-L20,Falcon 9,FT5,B1058,6,45.7177,2021-01-24T15:00:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-021,2021-03-14T10:01:26Z,2021 Mar 14 1001:26,2021,2021.1984045535262,Starlink V1.0-L21,Falcon 9,FT5,B1051,9,52.8746,2021-01-20T13:02:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-024,2021-03-24T08:28:00Z,2021 Mar 24 0828,2021,2021.2256240487063,Starlink V1.0-L22,Falcon 9,FT5,B1060,6,48.0896,2021-02-04T06:19:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-027,2021-04-07T16:34:00Z,2021 Apr  7 1634,2021,2021.2649048706242,Starlink V1.0-L23,Falcon 9,FT5,B1058,7,27.3476,2021-03-11T08:13:29Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-030,2021-04-23T09:49:02Z,2021 Apr 23 0949:02,2021,2021.3079700025369,Dragon C206.2,Falcon 9,FT5,B1061,2,158.3901,2020-11-16T00:27:17Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-036,2021-04-29T03:44:30Z,2021 Apr 29 0344:30,2021,2021.323714802131,Starlink V1.0-L24,Falcon 9,FT5,B1060,7,35.8031,2021-03-24T08:28:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-038,2021-05-04T19:01:00Z,2021 May  4 1901,2021,2021.339157153729,Starlink V1.0-L25,Falcon 9,FT5,B1049,9,61.4417,2021-03-04T08:24:54Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-040,2021-05-09T06:42:00Z,2021 May  9 0642,2021,2021.3514497716894,Starlink V1.0-L27,Falcon 9,FT5,B1051,10,55.8615,2021-03-14T10:01:26Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-041,2021-05-15T22:56:00Z,2021 May 15 2256,2021,2021.3697412480974,Starlink V1.0-L26,Falcon 9,FT5,B1058,8,38.2653,2021-04-07T16:34:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-044,2021-05-26T18:59:00Z,2021 May 26 1859,2021,2021.3994273211567,Starlink V1.0-L28,Falcon 9,FT5,B1063,2,186.0707,2020-11-21T17:17:08Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-049,2021-06-06T04:26:00Z,2021 Jun  6 0426,2021,2021.427903348554,SXM-8,Falcon 9,FT5,B1061,3,43.7757,2021-04-23T09:49:02Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-054,2021-06-17T16:09:35Z,2021 Jun 17 1609:35,2021,2021.459378963724,GPS III SV05,Falcon 9,FT5,B1062,2,223.6981,2020-11-05T23:24:23Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-059,2021-06-30T19:31:00Z,2021 Jun 30 1931,2021,2021.4953786149163,Transporter-2,Falcon 9,FT5,B1060,8,62.6573,2021-04-29T03:44:30Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-078,2021-08-29T07:14:48Z,2021 Aug 29 0714:48,2021,2021.6583614916285,Dragon C208.2,Falcon 9,FT5,B1061,4,84.1172,2021-06-06T04:26:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-082,2021-09-14T03:55:50Z,2021 Sep 14 0355:50,2021,2021.7018185565703,Starlink Group 2-1,Falcon 9,FT5,B1049,10,132.3714,2021-05-04T19:01:00Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-084,2021-09-16T00:02:56Z,2021 Sep 16 0002:56,2021,2021.706854895992,Dragon C207.2,Falcon 9,FT5,B1062,3,90.3287,2021-06-17T16:09:35Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-103,2021-11-11T02:03:31Z,2021 Nov 11 0203:31,2021,2021.8605089738712,Dragon C210,Falcon 9,FT5,B1067,2,160.3571,2021-06-03T17:29:15Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-104,2021-11-13T12:18:56Z,2021 Nov 13 1218:56,2021,2021.867159309995,Starlink Group 4-1,Falcon 9,FT5,B1058,9,181.5576,2021-05-15T22:56:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-110,2021-11-24T06:21:02Z,2021 Nov 24 0621:02,2021,2021.8966153602232,DART,Falcon 9,FT5,B1063,3,181.4736,2021-05-26T18:59:00Z,VSFBS / SLC4E,DS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-115,2021-12-02T23:12:00Z,2021 Dec  2 2312,2021,2021.9204566210046,Starlink Group 4-3,Falcon 9,FT5,B1060,9,155.1535,2021-06-30T19:31:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-121,2021-12-09T06:00:00Z,2021 Dec  9 0600,2021,2021.9376712328767,IXPE,Falcon 9,FT5,B1061,5,101.9481,2021-08-29T07:14:48Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-125,2021-12-18T12:41:40Z,2021 Dec 18 1241:40,2021,2021.9630929731102,Starlink Group 4-4,Falcon 9,FT5,B1051,11,223.2498,2021-05-09T06:42:00Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2021-126,2021-12-19T03:58:39Z,2021 Dec 19 0358:39,2021,2021.9648376141552,Turksat 5B,Falcon 9,FT5,B1067,3,38.08,2021-11-11T02:03:31Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-001,2022-01-06T21:49:00Z,2022 Jan  6 2149,2022,2022.0161891171995,Starlink Group 4-5,Falcon 9,FT5,B1062,4,112.907,2021-09-16T00:02:56Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-002,2022-01-13T15:25:00Z,2022 Jan 13 1525,2022,2022.0346366057838,Transporter-3,Falcon 9,FT5,B1058,10,61.1292,2021-11-13T12:18:56Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-005,2022-01-19T02:02:40Z,2022 Jan 19 0202:40,2022,2022.0495484525622,Starlink Group 4-6,Falcon 9,FT5,B1060,10,47.1185,2021-12-02T23:12:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-010,2022-02-03T18:13:20Z,2022 Feb  3 1813:20,2022,2022.0924911212583,Starlink Group 4-7,Falcon 9,FT5,B1061,6,56.5093,2021-12-09T06:00:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-016,2022-02-21T14:44:20Z,2022 Feb 21 1444:20,2022,2022.1414085489598,Starlink Group 4-8,Falcon 9,FT5,B1058,11,38.9718,2022-01-13T15:25:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-017,2022-02-25T17:12:10Z,2022 Feb 25 1712:10,2022,2022.1526487189244,Starlink Group 4-11,Falcon 9,FT5,B1063,4,93.4522,2021-11-24T06:21:02Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-022,2022-03-03T14:25:00Z,2022 Mar  3 1425:00,2022,2022.1687690258752,Starlink Group 4-9,Falcon 9,FT5,B1060,11,43.5155,2022-01-19T02:02:40Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-025,2022-03-09T13:45:00Z,2022 Mar  9 1345:00,2022,2022.1851312785388,Starlink Group 4-10,Falcon 9,FT5,B1052,4,36.6069,2022-01-31T23:11:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-029,2022-03-19T04:42:30Z,2022 Mar 19 0442:30,2022,2022.2114963850838,Starlink Group 4-12,Falcon 9,FT5,B1051,12,90.6672,2021-12-18T12:41:40Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-033,2022-04-01T16:24:16Z,2022 Apr  1 1624:16,2022,2022.2484479959412,Transporter-4,Falcon 9,FT5,B1061,7,56.9243,2022-02-03T18:13:20Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-037,2022-04-08T15:17:11Z,2022 Apr  8 1517:11,2022,2022.26749844622,Dragon C206.3,Falcon 9,FT5,B1062,5,91.7279,2022-01-06T21:49:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-040,2022-04-17T13:13:00Z,2022 Apr 17 1313,2022,2022.2919197108067,INTRUDER,Falcon 9,FT5,B1071,2,73.6983,2022-02-02T20:27:26Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-041,2022-04-21T17:51:40Z,2022 Apr 21 1751:40,2022,2022.3034088026382,Starlink Group 4-14,Falcon 9,FT5,B1060,12,49.1435,2022-03-03T14:25:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-042,2022-04-27T07:52:55Z,2022 Apr 27 0752:55,2022,2022.3187079845256,Dragon C212,Falcon 9,FT5,B1067,4,129.1627,2021-12-19T03:58:39Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-045,2022-04-29T21:27:10Z,2022 Apr 29 2127:10,2022,2022.3257366184678,Starlink Group 4-16,Falcon 9,FT5,B1062,6,21.2569,2022-04-08T15:17:11Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-049,2022-05-06T09:42:00Z,2022 May  6 0942:00,2022,2022.3435730593608,Starlink Group 4-17,Falcon 9,FT5,B1058,12,73.79,2022-02-21T14:44:20Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-051,2022-05-13T22:07:50Z,2022 May 13 2207:50,2022,2022.3641701547438,Starlink Group 4-13,Falcon 9,FT5,B1063,5,77.2053,2022-02-25T17:12:10Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-053,2022-05-18T10:59:40Z,2022 May 18 1059:40,2022,2022.37659753932,Starlink Group 4-18,Falcon 9,FT5,B1052,5,69.8852,2022-03-09T13:45:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-057,2022-05-25T18:35:00Z,2022 May 25 1835:00,2022,2022.3966419330288,Transporter-5,Falcon 9,FT5,B1061,8,54.0908,2022-04-01T16:24:16Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-061,2022-06-08T21:04:00Z,2022 Jun  8 2104,2022,2022.4352815829527,Nilesat 301,Falcon 9,FT5,B1062,7,39.9839,2022-04-29T21:27:10Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-062,2022-06-17T16:08:50Z,2022 Jun 17 1608:50,2022,2022.4593775367834,Starlink Group 4-19,Falcon 9,FT5,B1060,13,56.9286,2022-04-21T17:51:40Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-063,2022-06-18T14:19:52Z,2022 Jun 18 1419:52,2022,2022.4619099441907,SARah-1,Falcon 9,FT5,B1071,3,62.0464,2022-04-17T13:13:00Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-064,2022-06-19T04:27:36Z,2022 Jun 19 0427:36,2022,2022.4635228310503,Globalstar FM15,Falcon 9,FT5,B1061,9,24.4115,2022-05-25T18:35:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-071,2022-06-29T21:04:00Z,2022 Jun 29 2104,2022,2022.4928158295281,SES-22,Falcon 9,FT5,B1073,2,46.0161,2022-05-14T20:40:50Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-076,2022-07-07T13:11:00Z,2022 Jul  7 1311:00,2022,2022.5138337138508,Starlink Group 4-21,Falcon 9,FT5,B1058,13,62.1451,2022-05-06T09:42:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-077,2022-07-11T01:39:40Z,2022 Jul 11 0139:40,2022,2022.523477295789,Starlink Group 3-1,Falcon 9,FT5,B1063,6,58.1471,2022-05-13T22:07:50Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-081,2022-07-15T00:44:22Z,2022 Jul 15 0044:22,2022,2022.5343309868088,Dragon C208.3,Falcon 9,FT5,B1067,5,78.7024,2022-04-27T07:52:55Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-083,2022-07-17T14:20:00Z,2022 Jul 17 1420:00,2022,2022.5413622526637,Starlink Group 4-22,Falcon 9,FT5,B1051,13,120.401,2022-03-19T04:42:30Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-084,2022-07-22T17:39:40Z,2022 Jul 22 1739:40,2022,2022.5554407661086,Starlink Group 3-2,Falcon 9,FT5,B1071,4,34.1388,2022-06-18T14:19:52Z,VSFBS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-086,2022-07-24T13:38:20Z,2022 Jul 24 1338:20,2022,2022.5604610603755,Starlink Group 4-25,Falcon 9,FT5,B1062,8,45.6905,2022-06-08T21:04:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2022-094,2022-08-04T23:08:48Z,2022 Aug  4 2308:48,2022,2022.5916834094369,KPLO,Falcon 9,FT5,B1052,6,78.5063,2022-05-18T10:59:40Z,CC / LC40,DS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
